#####################  commands.txt   ECheck V4 and above  ##################
# This file contains the list of commands ECheck understands.
#
# You can obtain the list of commands using "echeck -hc"
#
# Comments start with a #; empty lines are allowed.
#############################################################################

WORK,   Work
ATTACK,   Attack
STEAL,    Steal
NAME,   Name
USE,    Use
DESCRIBE, Describe
ENTER,    Enter
GUARD,    Guard
PAY, Pay
MESSAGE,  Message
END,    End
RIDE,   Ride
FOLLOW,   Follow
RESEARCH, Research
GIVE,   Give
HELP,   Help
FIGHT,    Combat
COMBATMAGIC,  Combatspell
BUY,    Buy
CONTACT,  Contact
TEACH,    Teach
STUDY,    Learn
MAKE,   Make
MOVE,   Move
PASSWORD, Password
PLANT,    Plant
RECRUIT,  Recruit
REPORT,   Report
OPTION,   Option
SPY,    Spy
SETSTEALTH, Hide
CARRY,    Carry
QUIT,   Quit
TAX,    Tax
ENTERTAIN,  Entertain
SELL,   Sell
LEAVE,    Leave
CAST,   Cast
SHOW,   Show
DESTROY,  Destroy
FORGET,   Forget
DEFAULT,  Default
COMMENT,  //
ROUTE,    Route
SABOTAGE, Sabotage
BREED,    Grow
ORIGIN,   Origin
EMAIL,    Email
RESERVE,  Reserve
CLAIM, Claim
BANNER,   Banner
NUMBER,   Number
PIRACY,   Piracy
RESTART,  Restart
GROUP,    Group
SORT,   Sort
PREFIX,   Prefix
PROMOTE,  Promote
LANGUAGE, Language
ORDERSTART,   Eressea
ORDERSTART,   Faction
NEXT,         Next
LOCALE,       Locale
UNIT,         Unit
REGION,       Region

# NEXT, Next  is NO COMMAND for ECheck, it's an parameter.
# this is for internal reasons, please enter at required place

