######################  params.txt   ECheck V4 and above  ###################
# This file contains the list of parameters ECheck understands.
#
# You can obtain the list of parameters using "echeck -hp"
#
# Comments start with a #; empty lines are allowed.
#############################################################################

ALL,    All
EACH, Each
PEASANTS, Peasants
CASTLE,   Castle
BUILDING, Building
UNIT,   Unit
FLEE,   Flee
REAR,   Rear
FRONT,    Front
AGGRESSIVE, aggressive
DEFENSIVE,  defensive
CONTROL,  Control
HERBS,    Herbs
TREES,  Trees
NOT,    Not
FACTION,  Faction
PERSON,   Men
REGION,   Region
SHIP,   Ship
SILVER,   Silver
ROAD,   Road
TEMP,   Temporary
PRIVATE,  Private
OBSERVE,  Perception
GIVE,   Give
GUARD,    Guard
WARN,   Warning
LEVEL,    Level
HORSES,   Horses
FOREIGN,  foreign
NUMBER,   Number

BEFORE, before
AFTER, after
ALLIANCE, alliance
KICK,        Kick
LEAVE,       Leave
NEW,         New
INVITE,      Invite
JOIN,        Join
AUTO, auto
